date,topic,source,status,file
2026-07-10,Zero-Trust Workload Identity em Kubernetes com SPIFFE/SPIRE/Cilium,https://www.freecodecamp.org/news/implement-zero-trust-workload-identity-in-kubernetes-with-spiffe-spire-and-cilium/,filled,posts/queue/2026-07-10-zero-trust-workload-identity.md
2026-07-10,Governança de custo e acesso de LLM como camada de control plane,https://platformengineering.com/features/platform-engineering-2-0-manage-ai-costs-and-risks-without-rebuilding-infrastructure/,filled,posts/queue/2026-07-10-ai-cost-governance-control-plane.md
2026-07-10,Vulnerabilidade crítica no ArgoCD (CVSS 9.6) - vazamento de Secret via ServerSideDiff,https://github.com/argoproj/argo-cd/security/advisories/GHSA-3v3m-wc6v-x4x3,filled,posts/queue/2026-07-10-argocd-serversidediff-secret-leak.md
2026-07-10,RCE não autenticada no repo-server do Argo CD sem patch há 18 meses,https://thehackernews.com/2026/07/unpatched-argo-cd-repo-server-flaw.html,filled,posts/queue/2026-07-10-argocd-repo-server-rce.md
2026-07-13,Graduação do OpenTelemetry no CNCF e consolidação de agentes num OTel Collector central,https://www.cncf.io/announcements/2026/05/21/cloud-native-computing-foundation-announces-opentelemetrys-graduation-solidifying-status-as-the-de-facto-observability-standard/,filled,posts/queue/2026-07-13-opentelemetry-graduation-otel-collector.md
2026-07-15,Aposentadoria oficial do Ingress NGINX Controller e migração para Gateway API,https://kubernetes.io/blog/2026/01/29/ingress-nginx-statement/,draft,posts/queue/2026-07-15-ingress-nginx-retirement-gateway-api.md
2026-07-17,AWS DevOps Agent chega a GA e leva resposta a incidente de assistida por IA pra autônoma,https://aws.amazon.com/blogs/mt/announcing-general-availability-of-aws-devops-agent/,draft,posts/queue/2026-07-17-aws-devops-agent-incidentes-autonomos.md
2026-07-20,Ataque a cadeia de suprimentos do LiteLLM via build comprometido do Trivy - backdoor com kit de movimento lateral em Kubernetes,https://thehackernews.com/2026/03/teampcp-backdoors-litellm-versions.html,draft,posts/queue/2026-07-20-litellm-supply-chain-backdoor.md
2026-07-22,HashiCorp lança tfpolicy em beta - policy-as-code nativo do Terraform em HCL substituindo Sentinel/OPA como camada separada,https://www.hashicorp.com/en/blog/introducing-tfpolicy-a-declarative-policy-workflow-built-for-terraform,draft,posts/queue/2026-07-22-hashicorp-tfpolicy-terraform-governanca.md
2026-07-24,Cilium com eBPF vira CNI padrão/recomendado em GKE/EKS/AKS - kube-proxy baseado em iptables sendo substituído,https://dev.to/linou518/ebpf-in-2026-the-kernel-revolution-powering-cloud-native-security-and-observability-22jd,draft,posts/queue/2026-07-24-cilium-ebpf-kubeproxy.md
